F S   UID   PID  PPID  C PRI  NI ADDR SZ WCHAN  TTY          TIME CMD
4 S     0  1020     1  0  80   0 - 10740 poll_s ?        00:00:00 packagekitd
4 S     0  1031   520  0  80   0 - 11534 poll_s ?        00:00:00 gdm-session-wor
4 S  1000  1034     1  0  80   0 -  1206 ep_pol ?        00:00:00 systemd
5 S  1000  1035  1034  0  80   0 -  1571 sigtim ?        00:00:00 (sd-pam)
1 S  1000  1039     1  0  80   0 - 11665 poll_s ?        00:00:00 gnome-keyring-d
4 S  1000  1043  1031  0  80   0 - 21352 poll_s ?        00:00:00 x-session-manag
1 S  1000  1085     1  0  80   0 -  3860 wait   ?        00:00:00 VBoxClient
1 S  1000  1087  1085  0  80   0 -  4285 rtR0Se ?        00:00:00 VBoxClient
1 S  1000  1095     1  0  80   0 -  3860 wait   ?        00:00:00 VBoxClient
1 S  1000  1097  1095  0  80   0 -  3860 poll_s ?        00:00:00 VBoxClient
1 S  1000  1101     1  0  80   0 -  3860 wait   ?        00:00:00 VBoxClient
1 S  1000  1102  1101  0  80   0 -  4281 rtR0Se ?        00:00:00 VBoxClient
1 S  1000  1105     1  0  80   0 -  3860 wait   ?        00:00:00 VBoxClient
1 S  1000  1106  1105  0  80   0 -  4410 futex_ ?        00:00:04 VBoxClient
1 S  1000  1116  1043  0  80   0 -  1103 poll_s ?        00:00:00 ssh-agent
1 S  1000  1119     1  0  80   0 -   991 poll_s ?        00:00:00 dbus-launch
1 S  1000  1120     1  0  80   0 -  1418 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1123     1  0  80   0 - 10814 poll_s ?        00:00:00 at-spi-bus-laun
0 S  1000  1127  1123  0  80   0 -  1305 ep_pol ?        00:00:00 dbus-daemon
0 S  1000  1131     1  0  80   0 -  4558 poll_s ?        00:00:00 at-spi2-registr
0 S  1000  1143  1043  0  80   0 - 46595 poll_s ?        00:00:00 gnome-settings-
1 S  1000  1158     1  0  69 -11 - 25127 poll_s ?        00:00:00 pulseaudio
0 S  1000  1163     1  0  80   0 -  7845 poll_s ?        00:00:00 gvfsd
0 S  1000  1169     1  0  80   0 - 11408 futex_ ?        00:00:00 gvfsd-fuse
1 S  1000  1176     1  0  80   0 -   565 wait   ?        00:00:00 start-pulseaudi
0 S  1000  1177  1176  0  80   0 -  1606 poll_s ?        00:00:00 xprop
0 S  1000  1181     1  0  80   0 - 14295 poll_s ?        00:00:00 gvfs-udisks2-vo
4 S     0  1183     1  0  80   0 - 13091 poll_s ?        00:00:00 udisksd
0 S  1000  1194     1  0  80   0 -  7614 poll_s ?        00:00:00 gvfs-goa-volume
0 S  1000  1197     1  0  80   0 - 37464 poll_s ?        00:00:00 goa-daemon
0 S  1000  1206     1  0  80   0 -  7759 poll_s ?        00:00:00 gvfs-gphoto2-vo
0 S  1000  1207     1  0  80   0 - 10642 poll_s ?        00:00:00 mission-control
0 S  1000  1211     1  0  80   0 -  7544 poll_s ?        00:00:00 gvfs-mtp-volume
0 S  1000  1215     1  0  80   0 - 10490 poll_s ?        00:00:00 gvfs-afc-volume
0 S  1000  1220  1043  0  80   0 - 109708 poll_s ?       00:00:17 gnome-shell
4 S   110  1223     1  0  80   0 -  9514 poll_s ?        00:00:00 geoclue
0 S  1000  1229     1  0  80   0 - 14114 poll_s ?        00:00:00 gsd-printer
0 S  1000  1257     1  0  80   0 - 23039 poll_s ?        00:00:00 gnome-shell-cal
0 S  1000  1261     1  0  80   0 - 26241 poll_s ?        00:00:00 evolution-sourc
0 S  1000  1271  1043  0  80   0 - 41175 poll_s ?        00:00:00 evolution-alarm
0 S  1000  1272  1043  0  80   0 - 18213 poll_s ?        00:00:00 nm-applet
0 S  1000  1274  1043  0  99   - - 10834 poll_s ?        00:00:00 tracker-miner-u
0 S  1000  1284  1043  0  80   0 - 27945 poll_s ?        00:00:00 nautilus
0 S  1000  1289     1  0  80   0 - 19714 poll_s ?        00:00:00 tracker-store
0 S  1000  1304  1043  0  99  19 - 41078 poll_s ?        00:00:00 tracker-extract
0 S  1000  1312  1043  0  80   0 - 16367 poll_s ?        00:00:00 zeitgeist-datah
0 S  1000  1315  1043  0  99  19 - 22589 poll_s ?        00:00:00 tracker-miner-f
0 S  1000  1317     1  0  80   0 - 44186 poll_s ?        00:00:00 evolution-calen
0 S  1000  1321     1  0  80   0 - 11732 poll_s ?        00:00:00 zeitgeist-daemo
0 S  1000  1322  1043  0  99   - - 12952 poll_s ?        00:00:00 tracker-miner-a
0 S  1000  1324  1043  0  80   0 -  9647 poll_s ?        00:00:00 applet.py
0 S  1000  1328     1  0  80   0 -  2313 poll_s ?        00:00:00 gconfd-2
0 S  1000  1338     1  0  80   0 - 16655 poll_s ?        00:00:00 zeitgeist-fts
0 S  1000  1353  1338  0  80   0 -   973 unix_s ?        00:00:00 cat
0 S  1000  1375     1  0  80   0 - 16136 poll_s ?        00:00:00 gvfsd-trash
0 S  1000  1397     1  0  80   0 -  5260 poll_s ?        00:00:00 gvfsd-metadata
0 S  1000  1413     1  0  80   0 -  9895 poll_s ?        00:00:00 gvfsd-burn
0 S  1000  1439     1  0  80   0 - 16327 poll_s ?        00:00:01 gnome-terminal-
0 S  1000  1442  1439  0  80   0 -   601 unix_s ?        00:00:00 gnome-pty-helpe
0 S  1000  1443  1439  0  80   0 -  1625 wait   pts/0    00:00:00 bash
4 S     0  1449  1443  0  80   0 -  1552 poll_s pts/0    00:00:00 sudo
4 S     0  1450  1449  0  80   0 -  1646 wait   pts/0    00:00:00 bash
1 S     0  2110     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:0
1 S     0  2113     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:1
4 S     0  2127  1031  0  80   0 -  7396 poll_s ?        00:00:00 gdm-session-wor
1 S     0  2141     2  0  80   0 -     0 worker ?        00:00:00 kworker/0:2
4 R     0  2442  1450  0  80   0 -  1131 -      pts/0    00:00:00 ps
