UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root       520     1   532  0    4 12:21 ?        00:00:00 /usr/sbin/gdm3
root       534   520   534  0    1 12:21 tty7     00:00:08 /usr/bin/Xorg :0 -novtswitch -background none -noreset -verbose 3 -auth /var/run/gdm3/auth-for-Debian-gdm-jNUKuo/database -seat seat0 -nolisten tcp vt7
Debian-+   848     1   848  0    1 12:21 ?        00:00:00 /usr/sbin/exim4 -bd -q30m
root       914     1   914  0    8 12:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       914     1   916  0    8 12:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       914     1   917  0    8 12:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       914     1   918  0    8 12:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       914     1   919  0    8 12:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       914     1   920  0    8 12:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       914     1   921  0    8 12:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
root       914     1   922  0    8 12:21 ?        00:00:00 /usr/sbin/VBoxService --pidfile /var/run/vboxadd-service.sh
Debian-+   938     1   938  0    1 12:21 ?        00:00:00 /lib/systemd/systemd --user
Debian-+   939   938   939  0    1 12:21 ?        00:00:00 (sd-pam)  
root       969     1   969  0    3 12:21 ?        00:00:00 /usr/lib/upower/upowerd
root       969     1   970  0    3 12:21 ?        00:00:00 /usr/lib/upower/upowerd
root       969     1   971  0    3 12:21 ?        00:00:00 /usr/lib/upower/upowerd
colord     978     1   978  0    3 12:21 ?        00:00:00 /usr/lib/colord/colord
colord     978     1   982  0    3 12:21 ?        00:00:00 /usr/lib/colord/colord
colord     978     1   983  0    3 12:21 ?        00:00:00 /usr/lib/colord/colord
Debian-+   987     1   987  0    3 12:21 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
Debian-+   987     1   992  0    3 12:21 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
Debian-+   987     1   993  0    3 12:21 ?        00:00:00 /usr/bin/pulseaudio --start --log-target=syslog
rtkit      988     1   988  0    3 12:21 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit      988     1   989  0    3 12:21 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
rtkit      988     1   990  0    3 12:21 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root      1017     1  1017  0    1 12:21 ?        00:00:00 /sbin/wpa_supplicant -u -s -O /run/wpa_supplicant
root      1020     1  1020  0    3 12:21 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1020     1  1021  0    3 12:21 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1020     1  1023  0    3 12:21 ?        00:00:00 /usr/lib/packagekit/packagekitd
root      1031   520  1031  0    3 12:21 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root      1031   520  1032  0    3 12:21 ?        00:00:00 gdm-session-worker [pam/gdm-password]
root      1031   520  1033  0    3 12:21 ?        00:00:00 gdm-session-worker [pam/gdm-password]
oscread+  1034     1  1034  0    1 12:21 ?        00:00:00 /lib/systemd/systemd --user
oscread+  1035  1034  1035  0    1 12:21 ?        00:00:00 (sd-pam)  
oscread+  1039     1  1039  0    5 12:21 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1039     1  1040  0    5 12:21 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1039     1  1149  0    5 12:21 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1039     1  1150  0    5 12:21 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1039     1  1151  0    5 12:21 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
oscread+  1043  1031  1043  0    4 12:21 ?        00:00:00 x-session-manager
oscread+  1043  1031  1129  0    4 12:21 ?        00:00:00 x-session-manager
oscread+  1043  1031  1132  0    4 12:21 ?        00:00:00 x-session-manager
oscread+  1043  1031  1134  0    4 12:21 ?        00:00:00 x-session-manager
oscread+  1085     1  1085  0    1 12:21 ?        00:00:00 /usr/bin/VBoxClient --clipboard
oscread+  1087  1085  1087  0    2 12:21 ?        00:00:00 /usr/bin/VBoxClient --clipboard
oscread+  1087  1085  1100  0    2 12:21 ?        00:00:00 /usr/bin/VBoxClient --clipboard
oscread+  1095     1  1095  0    1 12:21 ?        00:00:00 /usr/bin/VBoxClient --display
oscread+  1097  1095  1097  0    1 12:21 ?        00:00:00 /usr/bin/VBoxClient --display
oscread+  1101     1  1101  0    1 12:21 ?        00:00:00 /usr/bin/VBoxClient --seamless
oscread+  1102  1101  1102  0    2 12:21 ?        00:00:00 /usr/bin/VBoxClient --seamless
oscread+  1102  1101  1107  0    2 12:21 ?        00:00:00 /usr/bin/VBoxClient --seamless
oscread+  1105     1  1105  0    1 12:21 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
oscread+  1106  1105  1106  0    3 12:21 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
oscread+  1106  1105  1109  0    3 12:21 ?        00:00:00 /usr/bin/VBoxClient --draganddrop
oscread+  1106  1105  1111  0    3 12:21 ?        00:00:05 /usr/bin/VBoxClient --draganddrop
oscread+  1116  1043  1116  0    1 12:21 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session x-session-manager
oscread+  1119     1  1119  0    1 12:21 ?        00:00:00 /usr/bin/dbus-launch --exit-with-session x-session-manager
oscread+  1120     1  1120  0    1 12:21 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 5 --print-address 7 --session
oscread+  1123     1  1123  0    4 12:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1123     1  1124  0    4 12:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1123     1  1126  0    4 12:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1123     1  1128  0    4 12:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
oscread+  1127  1123  1127  0    1 12:21 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
oscread+  1131     1  1131  0    2 12:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
oscread+  1131     1  1135  0    2 12:21 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
oscread+  1143  1043  1143  0    6 12:21 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1143  1043  1155  0    6 12:21 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1143  1043  1157  0    6 12:21 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1143  1043  1166  0    6 12:21 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1143  1043  1232  0    6 12:21 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1143  1043  2554  0    6 12:59 ?        00:00:00 /usr/lib/gnome-settings-daemon/gnome-settings-daemon
oscread+  1158     1  1158  0    3 12:21 ?        00:00:00 /usr/bin/pulseaudio --start
oscread+  1158     1  1159  0    3 12:21 ?        00:00:00 /usr/bin/pulseaudio --start
oscread+  1158     1  1160  0    3 12:21 ?        00:00:00 /usr/bin/pulseaudio --start
oscread+  1163     1  1163  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd
oscread+  1163     1  1164  0    2 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd
oscread+  1169     1  1169  0    5 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1169     1  1173  0    5 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1169     1  1174  0    5 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1169     1  1175  0    5 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1169     1  1178  0    5 12:21 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
oscread+  1176     1  1176  0    1 12:21 ?        00:00:00 /bin/sh /usr/bin/start-pulseaudio-x11
oscread+  1177  1176  1177  0    1 12:21 ?        00:00:00 /usr/bin/xprop -root -spy
oscread+  1181     1  1181  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
oscread+  1181     1  1182  0    3 12:21 ?        00:00:00 /usr/lib/gvfs/gvfs-udisks2-volume-monitor
